Fecha,Números Principales,Números Euro
2024-01-02,19;26;36;48;49,10;11
2024-01-05,11;30;32;45;47,3;10
2024-01-09,9;12;26;41;47,7;10
2024-01-12,3;31;34;43;45,6;9
2024-01-16,6;19;32;39;42,4;9
2024-01-19,10;12;18;33;47,7;10
2024-01-23,9;18;20;32;39,5;8
2024-01-26,18;23;35;37;41,6;7
2024-01-30,10;12;15;46;48,9;11
2024-02-02,13;17;21;30;39,8;11
2024-02-06,16;19;20;26;44,1;4
2024-02-09,4;10;11;20;22,7;10
2024-02-13,7;20;22;45;48,10;12
2024-02-16,7;11;17;18;34,3;5
2024-02-20,1;3;11;15;30,4;10
2024-02-23,10;19;22;37;41,2;6
2024-02-27,15;17;30;38;49,1;11
2024-03-01,13;26;30;34;41,3;7
2024-03-05,2;20;30;31;40,8;12
2024-03-08,2;11;17;23;49,4;12
2024-03-12,2;8;11;16;20,4;10
2024-03-15,16;20;25;30;49,3;10
2024-03-19,1;20;28;32;49,3;10
2024-03-22,5;17;36;37;50,3;7
2024-03-26,12;15;17;30;32,1;6
2024-03-29,7;11;30;31;39,5;10
2024-04-02,14;17;29;32;45,1;2
2024-04-05,5;8;16;30;37,1;10
2024-04-09,1;7;21;27;43,1;3
2024-04-12,1;34;39;47;49,1;12
2024-04-16,35;36;37;41;48,1;12
2024-04-19,8;14;21;34;36,1;2
2024-04-23,2;3;6;15;35,1;3
2024-04-26,3;18;23;29;47,5;12
2024-04-30,4;20;33;37;45,8;9
2024-05-03,9;17;36;40;45,5;7
2024-05-07,3;11;32;33;35,3;11
2024-05-10,28;31;39;45;49,8;11
2024-05-14,19;22;23;24;27,1;6
2024-05-17,1;2;29;36;48,1;11
2024-05-21,7;23;31;33;38,10;11
2024-05-24,2;3;4;21;45,6;12
2024-05-28,13;26;27;35;46,3;4
2024-05-31,4;23;34;39;45,6;7
2024-06-04,1;3;24;43;49,2;4
2024-06-07,8;15;29;37;45,5;10
2024-06-11,4;12;16;29;31,1;9
2024-06-14,10;21;27;42;46,2;6
2024-06-18,4;10;23;24;45,7;8
2024-06-21,2;22;24;30;40,5;6
2024-06-25,8;14;25;31;45,3;12
2024-06-28,1;8;30;43;45,10;12
2024-07-02,10;29;30;32;40,6;12
2024-07-05,4;11;16;25;32,1;11
2024-07-09,5;14;25;26;44,8;10
2024-07-12,2;14;30;32;34,3;4
2024-07-16,8;22;27;36;43,5;8
2024-07-19,13;18;22;26;32,10;11
2024-07-23,9;13;21;24;38,6;12
2024-07-26,7;11;22;26;46,5;11
2024-07-30,2;16;30;31;49,2;5
2024-08-02,14;20;26;30;31,1;2
2024-08-06,4;9;22;32;35,9;10
2024-08-09,15;18;25;29;35,1;5
2024-08-13,6;9;33;34;50,1;7
2024-08-16,4;11;16;46;50,1;3
2024-08-20,25;28;29;31;33,6;12
2024-08-23,13;21;22;26;48,2;7
2024-08-27,15;24;29;33;39,2;9
2024-08-30,8;11;25;31;48,11;12
2024-09-03,5;17;23;36;37,5;9
2024-09-06,7;11;27;42;45,3;10
2024-09-10,7;10;31;41;46,1;5
2024-09-13,2;3;17;40;44,4;8
2024-09-17,1;3;13;24;44,11;12
2024-09-20,9;17;19;26;39,4;10
2024-09-24,3;13;34;41;43,1;5
2024-09-27,6;15;25;29;41,1;3
2024-10-01,17;37;42;45;50,6;7
2024-10-04,4;16;27;34;44,4;7
2024-10-08,13;29;42;44;48,2;8
2024-10-11,8;11;23;44;45,10;12
2024-10-15,9;20;38;44;45,4;12
2024-10-18,2;4;23;30;40,4;10
2024-10-22,4;32;36;38;47,3;9
2024-10-25,2;19;36;42;50,4;9
2024-10-29,3;17;26;30;49,1;10
2024-11-01,13;21;27;28;41,1;3
2024-11-05,22;29;36;38;43,1;6
2024-11-08,6;23;38;42;45,9;12
2024-11-12,2;3;34;38;49,10;11
2024-11-15,27;31;35;46;50,3;10
2024-11-19,4;7;19;26;27,4;5
2024-11-22,6;10;30;34;41,7;10
2024-11-26,20;21;28;32;37,1;5
2024-11-29,10;19;24;25;40,5;9
2024-12-03,7;20;23;24;37,4;10
2024-12-06,8;14;45;47;50,2;12
2024-12-10,17;23;30;41;43,4;11
2024-12-13,1;4;19;35;42,1;3
2024-12-17,11;14;18;35;42,4;11
2024-12-20,1;3;10;32;44,1;8
2024-12-24,9;15;28;36;39,6;7
2024-12-27,1;9;25;27;37,6;8
2024-12-31,2;21;26;34;49,7;12
